Country,Biome,Elevation,Vegetation,MAT,MAP,Soil_microbial_biomass_carbon,Soil_microbial_biomass_nitrogen,Soil_microbial_biomass_phosphorus,Soil_organic_carbon,Total_nitrogen,Total_organic_phosphorus,pH,Lower_depth,Method
Australia,Bare soil,,Restored minesite,,,5.33,0.5,,2241.67,45,,5.97,10,FI and FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,6.88,1.09,,684.17,125.71,,4.79,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,13.2,1.48,,721.67,131.43,,4.89,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,17.96,1.92,,752.5,137.14,,4.97,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,19.37,1.96,,1037.5,146.43,,4.99,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,53.88,4.75,,1073.33,149.29,,5.02,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,60.7,5.01,,1027.5,154.29,,5.49,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,74.29,5.99,,1159.17,146.43,,5.69,20,FE
China,Bare soil,147-350,copper mining wasteland,16.2,1335.9,81.63,6.47,,1177.5,153.57,,5.76,20,FE
India,Bare soil,300,Xanthium strumarium,20,1263,20.58,,0.74,,55.71,12.58,7.8,10,FI
India,Bare soil,299-416,Mine spoils,,,27.67,1.93,0.39,,55,10.97,7.9,10,FI
United kingdom,Bare soil,,,,,14.28,,,1041.67,92.86,,7.05,23,FE
United kingdom,Bare soil,,,,,7.33,,,1350,114.29,,7.05,23,FE
Canada,Boreal Forest,720,"spruce, pine",,,100.58,6,,3650,200,,,3,FE
Canada,Boreal Forest,720,"spruce, pine",,,74.67,6.71,,2200,128.57,,,3,FE
Canada,Boreal Forest,720,"spruce, pine",,,65.33,5.71,,2975,157.14,,,3,FE
Canada,Boreal Forest,720,"spruce, pine",,,168.75,10.5,,4133.33,221.43,,,3,FE
Canada,Boreal Forest,720,"spruce, pine",,,113.67,12.57,,3425,185.71,,,3,FE
Finland,Boreal Forest,,Norway spruce,,,368.67,45.93,,44916.67,1442.86,,5.96,,FE
Finland,Boreal Forest,,Norway spruce,,,274.92,36.43,,45416.67,1457.14,,5.76,,FE
Finland,Boreal Forest,,Norway spruce,,,231,27.21,,44666.67,1414.29,,5.09,,FE
Finland,Boreal Forest,,Norway spruce,,,330.08,45.64,,43916.67,1271.43,,4.69,,FE
Finland,Boreal Forest,,Norway spruce,,,359.5,51.29,,42500,1314.29,,4.37,,FE
Finland,Boreal Forest,,Norway spruce,,,665.42,89.5,,61833.33,2121.43,,4.59,,FE
Finland,Boreal Forest,,Norway spruce,,,551.25,71.14,,37083.33,1128.57,,4.36,,FE
Finland,Boreal Forest,,Norway spruce,,,465,60.29,,44083.33,1271.43,,4.32,,FE
Finland,Boreal Forest,,Norway spruce,,,543,66.79,,40333.33,1178.57,,4.34,,FE
Finland,Boreal Forest,,Norway spruce,,,654.83,85.5,,45333.33,1557.14,,4.79,,FE
Finland,Boreal Forest,,Norway spruce,,,546.25,66.93,,45583.33,1414.29,,4.13,,FE
Finland,Boreal Forest,,Norway spruce,,,640.58,76.86,,48666.67,1592.86,,4.62,,FE
